resId,age,noChildren,noSurvived15,totalLand,arableLand,landClass,cows,bulls,sheep,pigs,horses,otherLivestock,Nwives
64,40,4,4,10.9,4.9,0,0,0,0,0,0,0,1
1308,28,6,6,11,5,4-5,0,0,0,0,0,0,1
128,62,9,9,11,4,0,1,0,5,0,1,0,1
1812,63,13,9,11,2,4-6,0,0,0,0,0,0,1
1465,72,8,7,11,3,5-6,1,0,0,1,1,0,1
98,62,9,9,11.6,4.6,0,2,0,0,0,1,0,1
1248,53,5,5,12,2,3-5,12,0,0,0,0,0,1
76,66,4,4,12.25,0,0,1,0,0,0,1,0,1
1934,67,5,5,12.4,3,6,1,0,0,0,1,0,1
1483,73,5,5,14,2,5-6,2,0,0,1,1,0,1
1211,51,4,4,30,0,4-5,25,1,0,0,0,0,1
