ID,Age,Wives,WealthRatio,rs
26720,58,2,0.3,0
27268,58,0,103.09,0
28027,58,1,0.01,0
28494,58,3,0.01,0
28769,58,1,116.27,0
28894,58,1,0.66,0
28909,58,1,8.72,0
29720,58,1,13.74,9
73780,58,0,0.009242144,0
74153,58,1,0.01,0
100346,58,1,34.36,4
101045,58,1,8.3,0
101629,58,1,1.91,0
101637,58,1,8.46,0
102385,58,1,0.01,3
103414,58,1,0.01,3
103727,58,0,87.2,0
106325,58,1,0.01,3
107560,58,2,0.01,5
400157,58,1,44.06,0
400530,58,1,9.36,0
400848,58,1,439.44,0
401096,58,1,0.009242144,0
403370,58,1,49.4,0
3707,59,1,68.72,4
4784,59,2,1030.92,5
5533,59,1,3.43,2
5905,59,1,41.23,0
6000,59,1,48.1,0
7485,59,1,0.01,6
8013,59,1,0.01,2
8902,59,1,412.37,5
9269,59,1,162.45,6
10077,59,1,52.32,4
11537,59,0,0.009242144,0
11750,59,0,0.06,0
11995,59,1,0.02,1
12672,59,1,120.27,1
13970,59,2,0.02,4
14115,59,1,0.01,6
